,Name,Dialog,Conversational voice,CurrentSprite,Background,BackgroundSound,Face
65,,我停下脚步，靠着护栏上，朝夜空望去。却只是看到五颜六色的霓虹灯。,,,,,
66,,北斗，天枢，玉衡，摇光……,,,,,
67,,如同报菜名一样，我仿佛看见岚一边摆掰着手指，一边数着天上的繁星。,,,,,
68,,河风吹过，卷起地上的落叶，在我身边盘旋。,,,,,
69,,月你应该会考上高中，然后读一个大学吧,,,,,
70,,嗯,,,,,
71,,那我们以后还会见面吗？,,,,,
72,,傻瓜，当然能够见面啊,,,,,
73,,那就好,,,,,
74,,还有，不要这样说我啦！,,,,,
75,,岚伸出手，张开，然后收回，仿佛要抓住这片星空。,,,,,
76,,想旅行不？,,,,,
77,,嗯？,,,,,
78,,随便说说而已,,,,,
79,,去海边吧,,,,,
80,,那里有大海，有海鸥，有白塔，有沙滩……,,,,,
81,,去不了怎么办,,,,,
82,,山里的那条小溪也是不错的替代,,,,,
83,,对面噗嗤一声笑了出来。,,,,,
84,,那我要去抓鱼，抓大鱼,,,,,
85,,那我就要抓比你的更大的,,,,,
86,,我抓的比你的大,,,,,
87,,总之就是比你抓到大啦！,,,,,
88,,隔着屏幕，我们如小孩子那般斗着嘴。仿佛对方就在眼前一般，好似时光又倒流回了盛夏。,,,,,
89,,……,,,,,
90,,……,,,,,
91,,饭桌上，我和老爸面对面，许久后才做声。,,,,,
92,,才半个月，你怎么又要交话费了,,,,,
93,,最近和同学联系比较多,,,,,
94,,原来你也会交朋友,,,,,
95,,应该是吧……,,,,,
96,岚,哇，真的能看到诶,,,,,
97,,"岚试探性地对我挥了挥手，而我也作为回应比了个""OK""的手势。",,,,,
98,,明明见面前有那么多话相说，见面后却哑了口。,,,,,
99,,该说些什么呢？,,,,,
100,,今天天气怎么样？还是今天吃的什么？,,,,,
101,,疑惑之时，外公外婆忽的出现在屏幕中。,,,,,
102,,诶，这不是月儿吗，最近可好,,,,,
103,,明明是打个岚的电话啊，怎么被截胡了。,,,,,
104,,接着本来是小情侣之间的见面的时间，变成了爷孙相会的唠家常。,,,,,
105,,小岚这丫头啊，一直在脸上画来画去的，原来是要见你啊,,,,,
106,岚,喂爷爷,,,,,
107,,"岚在屏幕的那头开始胡乱的挥起手来，接着就是外公外婆发出了一阵笑声，仿佛在说""年轻就是好啊""",,,,,
108,岚,原来你还化妆了啊,,,,,
109,,打发走了外公外婆后，岚才开始和我的见面。,,,,,
110,,仔细端详，确实和以前有些不太一样。原本稚嫩的身体，已经有了一道柔软的曲线。,,,,,
111,,印着碎花的小裙出现在屏幕中，裙摆遮住的，是一双洁白的腿。,,,,,
112,,我咽了咽口水，极力控制自己不去想那些奇怪的事情。,,,,,
113,,或许以后我会有很多竞争者吧，我不禁担心起这个问题。,,,,,
114,,在想什么？,,,,,
115,,关于你的事情,,,,,
116,,哈？,,,,,
117,,成绩的事,,,,,
118,,哦我跟你说啊，最近的那些数学物理，真的是……,,,,,
119,,我握着手机，靠在椅子上，微微后仰。,,,,,
120,,外边偶尔传来飞驰而过的汽车声，,,,,,
121,,屏幕对面则是少女甜蜜的抱怨声。,,,,,
122,,时而附和，,,,,,
123,,时而倾听。,,,,,
124,,大多数时候，我只是这样静静地观望着，不经意间嘴角已经轻轻扬起。,,,,,
125,,我们相处异地，却处在同一片天空之下，自然很容易想到彼此的事情。,,,,,
