,Name,Dialog,Character_1,Character_2,Character_3,Background,BackgroundSound,ConversationalVoice
21,,小女孩在身上捣鼓一阵后，掏出几颗水果糖。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
22,？？？,你要吃吗？,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
23,,我粗乱地剥开包装，一口吞下，甜味儿瞬间在嘴里散开——是我最爱的西瓜味的糖果——接着从包里掏出一本小说，既然没有我爱看的动画片，干脆看会儿小说打发时间。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
24,,这时女孩将双手放在怀中，一双水灵的眼睛直勾勾地盯着我看。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
25,,第一次来到小城镇的我，没有在这里找到家的味道。随意地翻阅过小说后，发现我实在是看不进去，便将小说往身旁一扔，整个人倒在床上。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
26,？？？,那个……,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
27,,她将手搭在我的肩上，轻声问道：,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
28,？？？,我可以看吗？,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
29,,随便你吧，别折损就行。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
30,,于是她便捡起我的小说，在昏黄的灯光下翻阅起来。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
31,,安静的房间里，响起了一阵喃喃的阅读声。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
32,,快到睡觉的时间时，我忽的想起了洗澡的事。于是准备好衣服准备去洗澡，却不料没有发现热水器。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
33,？？？,忘了和你说了，这边都是烧水洗澡。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
34,月,为什么不早点说？,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
35,？？？,或许怕你接受不了？,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
36,,我有些无语，倒也不是接受不了用桶接水洗，只是在大城市里住习惯后可能有些不太习惯这种洗法。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
37,,我只好去灶上烧了点水，打算勉强洗个脚。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
38,,然后我去灶屋，笨拙地添柴加火烧开了水，之后又兑了一些冷水，将洗脚水调到刚刚合适的温度。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
39,,女孩脱下小小的凉鞋，一双柔嫩的脚尖刚碰到水面，又猛地收了回来。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
40,？？？,好烫……,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
41,月,烫吗？,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
42,,我也将脚放了下去，一开始确实有些烫，但缓慢的将脚沉到底后不动，好像也没那么烫了。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
43,,我便让她慢慢地将脚放进去，沉到底后不要乱动。女孩乖巧的点了点头，按我说的照做。双脚沉底的过程中，我看见她那稚嫩的脸由粉白渐渐地变红了起来，终于在双脚沉底后，停止了加深,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
44,？？？,怎么样？现在还烫么？,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
45,月,好像没有那么烫了？,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
46,,女孩又掏出小说，缓缓地翻阅起来。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
47,,昏黄的灯光下，两双脚在木桶中清晰可见。外面又传来电视的喧闹声，似乎像是肥皂剧。我呆呆地将头仰起，想着今天发生的事。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
48,,擦过湿漉的双脚后，我拿起手机向房间里走去。推开窗，打开风扇，一股清凉感扑面而来。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
49,,我钻入被窝中，感受着手机带给我的快乐。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
50,,老实说，我没有洁癖，但是在陌生的环境中总觉得有这样或那样的不舒服。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
51,,"躺在床上，我有点怀念家里的空调。想着""既来之则安之""这样的话语，我翻了个身继续看手机。",,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
52,,外面突然传来衣物摩擦的声音，我侧瞟一眼，发现那个女孩不知何时已经脱去了外面的衣服，挤上了床。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
53,,或许因为我们那时都还小，家长也没说什么，就让我们睡在了一起。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
54,,对面稍微挤了过来，气温有些升高。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
55,？？？,那个……,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
56,月,嗯？,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
57,岚,岚……我的名字,"(CharacterId=""Lan"",CurrentSprite=Texture2D'/Game/Assets/VerticalPainting/Lan/arashi_pose01_relaxed_base_noface.arashi_pose01_relaxed_base_noface',Face=None,Position=Inherit,Transition=Inherit,bKeepPrevious=True,bHide=False,bMirror=False,ZOrder=0)",,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,/Game/Assets/Audio/ConversationalVoice/001_岚……我的名字.001_岚……我的名字
58,月,月,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
59,岚,那本书，我还能再看吗？,"(CharacterId=""Lan"",CurrentSprite=Texture2D'/Game/Assets/VerticalPainting/Lan/arashi_pose01_relaxed_base_noface.arashi_pose01_relaxed_base_noface',Face=None,Position=Inherit,Transition=Inherit,bKeepPrevious=True,bHide=False,bMirror=False,ZOrder=0)",,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,/Game/Assets/Audio/ConversationalVoice/002_那本书，我还能再看吗？.002_那本书，我还能再看吗？
60,月,可以,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
61,,接着，对方便没有再说话，蝉鸣又一次占领了房间。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
62,,过了会儿，对方终于鼓起勇气：,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
63,岚,大城市，是不是有很高的房子,"(CharacterId=""Lan"",CurrentSprite=Texture2D'/Game/Assets/VerticalPainting/Lan/arashi_pose01_relaxed_base_noface.arashi_pose01_relaxed_base_noface',Face=None,Position=Inherit,Transition=Inherit,bKeepPrevious=True,bHide=False,bMirror=False,ZOrder=0)",,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,/Game/Assets/Audio/ConversationalVoice/003_大城市，是不是有很高的房子.003_大城市，是不是有很高的房子
64,月,有,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
65,岚,是不是有很多车,"(CharacterId=""Lan"",CurrentSprite=Texture2D'/Game/Assets/VerticalPainting/Lan/arashi_pose01_relaxed_base_noface.arashi_pose01_relaxed_base_noface',Face=None,Position=Inherit,Transition=Inherit,bKeepPrevious=True,bHide=False,bMirror=False,ZOrder=0)",,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,/Game/Assets/Audio/ConversationalVoice/004_是不是有很多车.004_是不是有很多车
66,月,是,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
67,岚,是不是随时都可以洗热水澡,"(CharacterId=""Lan"",CurrentSprite=Texture2D'/Game/Assets/VerticalPainting/Lan/arashi_pose01_relaxed_base_noface.arashi_pose01_relaxed_base_noface',Face=None,Position=Inherit,Transition=Inherit,bKeepPrevious=True,bHide=False,bMirror=False,ZOrder=0)",,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,/Game/Assets/Audio/ConversationalVoice/005_是不是随时都可以洗热水澡.005_是不是随时都可以洗热水澡
68,月,是的吧，应该,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
69,岚,嗯,"(CharacterId=""Lan"",CurrentSprite=Texture2D'/Game/Assets/VerticalPainting/Lan/arashi_pose01_relaxed_base_noface.arashi_pose01_relaxed_base_noface',Face=None,Position=Inherit,Transition=Inherit,bKeepPrevious=True,bHide=False,bMirror=False,ZOrder=0)",,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,/Game/Assets/Audio/ConversationalVoice/006_嗯.006_嗯
70,,我放下手机，感觉肩膀那头有点痒，可能是压到了头发的缘故。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
71,,相触的肌肤是清凉的，风扇隆隆地响着，吹散了空气中潮热和不安的气息。,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
72,月,我明天也在,,,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,
73,岚,嗯,"(CharacterId=""Lan"",CurrentSprite=Texture2D'/Game/Assets/VerticalPainting/Lan/arashi_pose01_relaxed_base_noface.arashi_pose01_relaxed_base_noface',Face=None,Position=Inherit,Transition=Inherit,bKeepPrevious=True,bHide=False,bMirror=False,ZOrder=0)",,,/Game/Assets/Background/Generated4K/02_memoriesoff1_fix_v2.02_memoriesoff1_fix_v2,,/Game/Assets/Audio/ConversationalVoice/007_嗯.007_嗯
