,Name,Dialog,Character_1,Character_2,Character_3,Background,BackgroundSound,ConversationalVoice
15,,早八，我捂着青红色的脖子，歪着头上课。脖子上是岚的咬痕——昨晚确实玩的太过了点。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
16,,但是好想再和岚涩涩一下。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
17,,想到这里，我的表情渐渐变得怪起来。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
18,,哇好恶心,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
19,,一旁的室友终于看不下去，轻轻地踹了我一脚。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
20,岚,哇，月的表情好恶心,"(CharacterId=""Lan"",CurrentSprite=Texture2D'/Game/Assets/VerticalPainting/Lan/arashi_pose01_relaxed_base_noface.arashi_pose01_relaxed_base_noface',Face=None,Position=Inherit,Transition=Inherit,bKeepPrevious=True,bHide=False,bMirror=False,ZOrder=0)",,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,/Game/Assets/Audio/ConversationalVoice/022_哇，月的表情好恶心.022_哇，月的表情好恶心
21,,岚掐了一下我的肩头。说实话，不疼但有点痒。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
22,岚,有吗？,"(CharacterId=""Lan"",CurrentSprite=Texture2D'/Game/Assets/VerticalPainting/Lan/arashi_pose01_relaxed_base_noface.arashi_pose01_relaxed_base_noface',Face=None,Position=Inherit,Transition=Inherit,bKeepPrevious=True,bHide=False,bMirror=False,ZOrder=0)",,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,/Game/Assets/Audio/ConversationalVoice/023_有吗？.023_有吗？
23,,我疑惑地问道。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
24,,"老爸没有说话，只是点点头。岚则表示已经拍了下来，放入到""阿月丑照""合集中。",,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
25,,喂什么时候有了这种合集啊，快给我删掉啊！,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
26,老爸,对了，你吃完饭后来楼下书房找我一趟,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
27,,饭后，老爸起身对我说道。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
28,老爸,……,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
29,,我和岚埋头吃饭，不发一言。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
30,,老爸其实是知道我们之间的事情的，这一点毋庸置疑。而我也很感谢老爸那时对我的点拨——虽然只有寥寥几语。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
31,老爸,还没来过这个房间吧,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
32,,我进入房间，开始打量起这个书房——复古的设计，书柜上摆着许多专业性书籍，阳光透过落地窗撒在书桌上。在这里看书，好不惬意。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
33,,我注意到书桌的旁边是一个展览柜，上面放着各种稀奇古怪的小玩意儿——与这个复古风格的书房显得格格不入，还有一些老照片。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
34,,从小老爸就不许我进入这个房间，我也不知道为什么，只是遵守他的规定。于是乎，这个房间成了我唯一陌生的地方。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
35,老爸,坐在这里吧,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
36,,老爸从桌底掏出一副棋盘，又用抹布擦了擦——看上去确实有些年头。接着又不慌不忙地摆上棋子，泡上一壶茶。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
37,,你会下象棋的吧,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
38,,会一点,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
39,,小时候在山镇里和村口的老头学过一点，虽然随着时间的流逝各种棋谱都忘得差不多了，不过最基本的走法还是会的。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
40,,下赢我,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
41,,于是我们开始在棋盘上博弈。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
42,,不到十分钟，我便败下阵来。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
43,,看了眼棋盘，我的攻势对老爸没有半点威胁。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
44,,什么时候能够赢了我再说你跟岚的事情吧,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
45,岚,下次再来时，希望你的技术有长进,"(CharacterId=""Lan"",CurrentSprite=Texture2D'/Game/Assets/VerticalPainting/Lan/arashi_pose01_relaxed_base_noface.arashi_pose01_relaxed_base_noface',Face=None,Position=Inherit,Transition=Inherit,bKeepPrevious=True,bHide=False,bMirror=False,ZOrder=0)",,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,/Game/Assets/Audio/ConversationalVoice/024_下次再来时，希望你的技术有长进.024_下次再来时，希望你的技术有长进
46,,老爸抿了一口茶，开始收拾棋盘。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
47,,我选的是工科的某个专业，课程是出了名的多和难。即便如此，我还是尽量地挤出时间陪在岚的身旁。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
48,,月你觉得毕业了你会做什么？,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
49,,拧螺丝？,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
50,,学这么难就是为了拧螺丝？,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
51,,或许吧,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
52,,房间里，岚无所事事的翻起我的教材。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
53,,你觉得你会干什么,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
54,,心理老师？,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
55,,我从满是公式的书中抬起头，望向岚。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
56,,岚学的是心理学，不管怎么说，我的心理倒是被她拿捏的死死的。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
57,岚,晚上去哪里吃？,"(CharacterId=""Lan"",CurrentSprite=Texture2D'/Game/Assets/VerticalPainting/Lan/arashi_pose01_relaxed_base_noface.arashi_pose01_relaxed_base_noface',Face=None,Position=Inherit,Transition=Inherit,bKeepPrevious=True,bHide=False,bMirror=False,ZOrder=0)",,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,/Game/Assets/Audio/ConversationalVoice/025_晚上去哪里吃？.025_晚上去哪里吃？
58,,想吃你做的菜了,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
59,,真的？,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
60,,更想吃你,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
61,,阿月真是的,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
62,,每当这个时候，岚的脸上都会泛起一层红晕，然后用那小拳头轻捶着我的手臂——有点像按摩的力度。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
63,,春去秋来，,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
64,,四季轮回。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
65,,转瞬间，我们来到了大四，即将迈入社会。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
66,,这段时间，我们都在忙着准备找工作。岚的简历投了一份又一份，却始终不见回信——如同将石头投入大海一般，掀不起波澜。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
67,,每次回家的时候，我都能看见岚戴着那洁白的围巾，为我烹饪好美味的饭菜。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
68,,老婆，我回来了——,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
69,,有点恶心。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
70,,对于我来说，有酒吧舞的学历这块敲门砖，找到一份好的工作并不是什么难事。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
71,,听说你在大学期间参加过这方面的竞赛，我们公司很看中你在这方面的经历，不过……,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
72,,面试官顿了顿，最终还是说了出了。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
73,岚,您似乎有个女朋友，这可是个难事,"(CharacterId=""Lan"",CurrentSprite=Texture2D'/Game/Assets/VerticalPainting/Lan/arashi_pose01_relaxed_base_noface.arashi_pose01_relaxed_base_noface',Face=None,Position=Inherit,Transition=Inherit,bKeepPrevious=True,bHide=False,bMirror=False,ZOrder=0)",,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,/Game/Assets/Audio/ConversationalVoice/026_您似乎有个女朋友，这可是个难事.026_您似乎有个女朋友，这可是个难事
74,,于是我放弃了那些待遇优渥的工作，进入到了一个中等规模的公司——待遇跟那些比起来不算很好，但我能有时间陪在岚的身边，这对我来说就足够了。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
75,,大学毕业的时候，我和岚站在一起，拍了和其他同学在一起的毕业照。我牵着岚的手，在陌生的人群中傻傻地笑着。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
76,岚,起来——,"(CharacterId=""Lan"",CurrentSprite=Texture2D'/Game/Assets/VerticalPainting/Lan/arashi_pose01_relaxed_base_noface.arashi_pose01_relaxed_base_noface',Face=None,Position=Inherit,Transition=Inherit,bKeepPrevious=True,bHide=False,bMirror=False,ZOrder=0)",,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,/Game/Assets/Audio/ConversationalVoice/027_起来——.027_起来——
77,,该起床啦——,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
78,,美好的清晨，却要起床工作，我感到一丝痛苦。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
79,,旁边岚已经穿好了衣服，画好了妆，做着出门的准备,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
80,,你找到工作了？,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
81,,不要把我看扁了啊！,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
82,,她叉腰，神气地看着我。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
83,,看着岚那身成熟的衣装，我不由得感叹原来我们都已经长这么大了。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
84,,当然，陪伴彼此的时间也更长了。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
85,,我穿上衣服，在她唇边轻轻一吻。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
86,,爱你哦,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
87,,她歪过头，似笑非笑地望着我。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
88,,然后轻轻地将我抱住，呼气如兰。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
89,,日子就这样一天天的过去，平淡如水。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
90,,我工作也不算很累，自然工资也不算特别高，只能说日子在能过得下去的基础上偶尔能支持我们进行几次高档消费。不过我们倒是很满足现状，有挚爱之人陪伴在身旁，每一天都是幸福的。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
91,,偶然的一次，我们谈起了结婚的事情，说起来我已经好久没回过老家了。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
92,,我还没跟我爸妈说找对象的事情呢,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
93,,我爸那边，不太好搞定,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
94,,过些日子我们回去跟我爸妈谈谈吧,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
95,,我爸那边，我会想办法的,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
96,,我们蜗居在辛苦打拼买下的小屋里，开始幻想起婚后的生活。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
